FEATURE,DATA_SOURC,Dataset_ID,Shape_Leng,Shape_Area,width,height,angle,area,perimeter
Giant Kelp,,"0",65.68113498190,299.05529063500,20.746850,19.343157,121.108423,401.309577,80.180014
Giant Kelp,,"0",1306.97073701000,31702.69612670000,225.021044,287.556868,52.428776,64706.346695,1025.155825
Giant Kelp,,"0",346.78527348100,4905.73226562000,70.182082,118.229811,0.223811,8297.614251,376.823785
Giant Kelp,,"0",323.26058823600,4422.16663437000,74.634447,82.528121,41.820170,6159.440655,314.325136
Giant Kelp,,"0",116.35192265900,795.34182189200,20.087801,49.309139,143.352107,990.512170,138.793880
Giant Kelp,,"0",133.51495564900,1221.43930626000,41.478404,40.675578,101.823545,1687.158044,164.307963
Giant Kelp,,"0",854.92635881400,16326.75852820000,262.258785,144.067326,118.046639,37782.921778,812.652221
Giant Kelp,,"0",698.11620258500,8072.49021250000,74.245940,299.132547,80.560396,22209.376997,746.756972
Giant Kelp,,"0",747.13125152000,15332.90987820000,147.286764,181.913216,102.726367,26793.408889,658.399960
Giant Kelp,,"0",1311.32185870000,29252.77734930000,186.026659,331.216379,116.784849,61615.076540,1034.486077
Giant Kelp,,"0",630.56317685000,12810.40291870000,89.540776,255.734322,16.843944,22898.649647,690.550196
Giant Kelp,,"0",215.37845738800,2851.38144067000,48.815972,84.608444,68.899916,4130.243425,266.848831
Giant Kelp,,"0",2183.25212230000,93187.71708160000,352.190875,454.214504,133.539575,159970.203304,1612.810756
Giant Kelp,,"0",165.25142625800,1474.60112499000,29.687229,64.349663,110.898575,1910.363180,188.073784
Giant Kelp,,"0",131.12833045000,825.90287499200,18.537725,57.018900,44.403191,1057.000665,151.113249
Giant Kelp,,"0",258.70305868200,3011.97340940000,60.619927,81.293322,146.126227,4927.995251,283.826498
Giant Kelp,,"0",255.30733969600,2888.82413752000,94.307660,45.335293,158.334933,4275.465450,279.285907
Giant Kelp,,"0",413.21121538100,4321.00285937000,72.918737,122.160698,24.049866,8907.803796,390.158870
Giant Kelp,,"0",800.27810132800,38934.56554370000,202.419375,245.539510,73.351390,49701.954198,895.917770
Giant Kelp,,"0",71.13737019490,304.01832812100,13.690001,29.490137,111.221085,403.719992,86.360275
Giant Kelp,,"0",349.45537124500,3590.79965937000,45.864387,141.883751,155.626413,6507.411300,375.496276
Giant Kelp,,"0",62.22640010360,272.50548124400,15.696756,21.989330,11.941795,345.161141,75.372171
Giant Kelp,,"0",403.34943515800,4886.25953123000,89.887990,106.504791,114.601756,9573.501573,392.785562
Giant Kelp,,"0",341.07120954400,2550.08797811000,46.132308,105.923858,16.236024,4886.512073,304.112333
Giant Kelp,,"0",276.65379909900,3878.15457816000,53.728095,102.225697,121.363538,5492.391965,311.907584
Giant Kelp,,"0",90.58902181810,555.94472500700,20.976233,32.525245,145.588260,682.257111,107.002956
Giant Kelp,,"0",265.23978324200,3045.14968747000,52.144916,105.296885,67.901644,5490.697269,314.883603
Giant Kelp,,"0",124.61476864400,1115.92384375000,34.883362,41.552152,35.072123,1449.478767,152.871028
Giant Kelp,,"0",763.86615876600,18435.40481250000,127.428128,268.568649,169.566689,34223.200330,791.993555
Giant Kelp,,"0",120.24857363300,1102.06639739000,35.544416,38.098449,122.594405,1354.187112,147.285730
Giant Kelp,,"0",80.33198875110,446.09849062300,19.306699,29.930308,16.148134,577.855451,98.474014
Giant Kelp,,"0",474.48881013300,7118.58999059000,89.525612,130.225886,47.898097,11658.552217,439.502997
Giant Kelp,,"0",3051.94478689000,80152.90876910000,369.318424,531.596856,101.861499,196328.512769,1801.830559
Giant Kelp,,"0",137.44748397600,1302.96353440000,33.202375,53.176181,105.068488,1765.575498,172.757112
Giant Kelp,,"0",115.16278299600,885.34935938700,26.796440,44.755620,111.064640,1199.291314,143.104122
Giant Kelp,,"0",201.95373112900,2555.48654063000,40.667681,75.728830,139.383264,3079.715933,232.793023
Giant Kelp,,"0",216.61699970500,2795.52246875000,46.515940,86.400199,87.192260,4018.986509,265.832279
Giant Kelp,,"0",1775.53100128000,28234.99773120000,171.776996,418.108590,97.752702,71821.437581,1179.771172
Giant Kelp,,"0",2505.13771976000,76681.36138950000,269.999917,710.532928,134.386309,191843.831237,1961.065689
Giant Kelp,,"0",185.58542490400,1691.48266563000,29.185745,75.743148,28.582582,2210.620197,209.857786
Giant Kelp,,"0",181.68263505900,957.53288437000,15.493055,83.893478,173.067970,1299.766278,198.773067
Giant Kelp,,"0",78.68983582840,466.89736873200,22.548894,25.232126,111.747408,568.956531,95.562040
Giant Kelp,,"0",149.03461240700,1036.21590002000,23.926123,61.473245,49.773068,1470.816406,170.798735
Giant Kelp,,"0",142.42261415000,1161.74214687000,30.964931,56.673448,68.794835,1754.889438,175.276759
Giant Kelp,,"0",397.05320797300,4781.39004688000,57.606620,152.814453,2.392968,8803.124113,420.842146
Giant Kelp,,"0",98.20309763880,636.79866562200,21.184950,38.276541,121.782420,810.886603,118.922982
Giant Kelp,,"0",132.60602198000,1014.39556252000,27.465551,52.526899,85.422199,1442.680211,159.984899
Giant Kelp,,"0",1811.86135870000,79020.90435620000,291.446102,437.865798,169.045935,127614.280019,1458.623800
Giant Kelp,,"0",394.68136021100,4594.57668124000,78.687408,102.313197,125.360794,8050.760346,362.001211
Giant Kelp,,"0",330.62975090700,2502.26309125000,32.054307,137.047425,74.392498,4392.960179,338.203464
Giant Kelp,,"0",111.25340190300,610.99182815200,16.105414,49.425530,54.747708,796.018635,131.061889
Giant Kelp,,"0",2713.09171856000,44894.29966780000,279.491512,442.378596,78.037478,123641.062450,1443.740215
Giant Kelp,,"0",2770.69444698000,67780.72981890000,296.937266,710.622250,11.128362,211010.228133,2015.119032
Giant Kelp,,"0",912.48720476900,16890.59187820000,91.491112,339.468328,151.874096,31058.334774,861.918879
Giant Kelp,,"0",380.14687259700,4073.28146556000,51.486727,152.811467,94.557703,7867.762334,408.596388
Giant Kelp,,"0",105.10022341000,795.32234375100,30.140193,32.518159,107.464781,980.103577,125.316703
Giant Kelp,,"0",2894.96152575000,78539.89018000000,273.222690,827.507766,84.813719,226093.897625,2201.460911
Giant Kelp,,"0",211.13537961400,2730.05063126000,57.474705,60.696418,173.429442,3488.508711,236.342246
Giant Kelp,,"0",608.90449052400,6099.56679063000,99.258756,182.110812,115.572580,18076.092730,562.739137
Giant Kelp,,"0",89.82404443810,419.84843751300,15.852789,33.216126,13.955122,526.568239,98.137831
Giant Kelp,,"0",412.15874380500,3015.65341877000,60.569903,142.112578,45.657337,8607.745009,405.364961
Giant Kelp,,"0",670.12420451700,8067.75381881000,83.912627,264.293106,118.140498,22177.528916,696.411467
Giant Kelp,,"0",199.41125817500,1585.00596878000,46.052284,65.989918,173.768067,3038.986410,224.084403
Giant Kelp,,"0",140.01395323000,1116.11685624000,29.092213,55.569511,75.624398,1616.640038,169.323448
Giant Kelp,,"0",363.42705040900,3761.38356251000,46.818188,136.069163,26.061667,6370.511711,365.774703
Giant Kelp,,"0",213.50516397300,1466.70600623000,35.705270,81.010786,100.276583,2892.512012,233.432113
Giant Kelp,,"0",52.92794156790,178.00948124500,14.619791,15.312831,43.970845,223.870401,59.865246
Giant Kelp,,"0",211.97315837500,1624.46111250000,45.386478,55.390447,160.346176,2513.977317,201.553851
Giant Kelp,,"0",1890.25706776000,24613.34325010000,125.604687,611.307348,124.244912,76783.068178,1473.824070
Giant Kelp,,"0",150.96983706600,888.90323126500,44.376902,39.665963,164.577839,1760.252523,168.085729
Giant Kelp,,"0",42.23013001850,120.90067500500,11.919980,13.790555,91.523952,164.383147,51.421071
Giant Kelp,,"0",49.86531487590,137.65866875800,8.973119,21.894167,123.827357,196.458977,61.734573
Giant Kelp,,"0",64.63165581950,246.40636250200,11.538868,26.436932,62.241459,305.052264,75.951600
Giant Kelp,,"0",81.71856022220,469.94139375000,24.549219,22.384846,28.594445,549.530475,93.868129
Giant Kelp,,"0",177.09454252700,1339.03699375000,21.409248,78.930334,62.330884,1689.839126,200.679165
Giant Kelp,,"0",98.57567519570,414.67656251300,12.906081,44.864016,88.243840,579.018648,115.540196
Giant Kelp,,"0",167.93404314800,867.05458128100,16.870771,78.550707,109.325000,1325.211001,190.842956
Giant Kelp,,"0",176.97474916300,1693.35922500000,46.000073,59.840658,174.079379,2752.674621,211.681461
Giant Kelp,,"0",34.94809734420,60.61557500580,11.533027,7.585925,90.493917,87.488675,38.237903
Giant Kelp,,"0",556.43614497400,4851.21593755000,41.098499,259.265786,99.839037,10655.434664,600.728570
Giant Kelp,,"0",346.92913640200,2554.89819996000,25.379151,166.917307,90.845095,4236.219572,384.592916
Giant Kelp,,"0",227.27857913500,1338.37342497000,20.168094,103.166215,107.192842,2080.665890,246.668617
Giant Kelp,,"0",336.90091089800,2860.90393128000,28.826811,160.795953,107.237474,4635.234619,379.245529
Giant Kelp,,"0",438.06495562900,4131.63243121000,38.507337,209.203814,122.473072,8055.881700,495.422301
Giant Kelp,,"0",54.05671087120,195.65220624800,14.612812,16.983133,2.279226,248.171341,63.191891
Giant Kelp,,"0",128.00949761800,788.34267501500,19.641477,52.903775,90.987760,1039.108307,145.090505
Giant Kelp,,"0",224.34186581800,1368.26086252000,17.801734,106.996273,120.382738,1904.719149,249.596014
Giant Kelp,,"0",292.84724373700,2369.37760004000,23.847908,142.265742,113.292418,3392.740287,332.227300
Giant Kelp,,"0",414.27981412300,2901.81115626000,19.148850,198.657874,119.388082,3804.069899,435.613449
Giant Kelp,,"0",426.06110839400,3680.13429378000,27.173536,202.916939,105.083330,5513.970856,460.180952
Giant Kelp,,"0",255.81326899300,2231.19949379000,30.721109,106.835029,95.440332,3282.090541,275.112275
Giant Kelp,,"0",458.55918711800,3827.35190001000,35.704006,206.816789,97.711875,7384.187771,485.041588
Giant Kelp,,"0",94.35326090230,453.82396249600,17.539161,40.829995,135.844638,716.123860,116.738313
Giant Kelp,,"0",214.60018322600,1737.06902501000,34.323685,82.118853,95.246314,2818.621587,232.885074
Giant Kelp,,"0",279.09010500000,3752.44536872000,37.641798,118.970686,86.458984,4478.270530,313.224969
Giant Kelp,,"0",167.83195889600,1230.18714371000,28.078166,72.961144,121.014898,2048.615111,202.078620
